Geneid,SRR6010085.bam,SRR6010086.bam,SRR6010087.bam,SRR6010088.bam,SRR6010089.bam,SRR6010090.bam
SIG_01g00010,0,0,0,0,0,0
SIG_01g00020,1,0,0,0,0,50
SIG_01g00030,0,0,158,35,0,0
SIG_01g00040,34,97,111,35,5,355
SIG_01g00050,232,1077,1095,610,211,3506
SIG_01g00060,152,305,322,254,354,150
SIG_01g00070,0,0,0,0,0,0
SIG_01g00080,6,33,16,69,41,12
SIG_01g00090,0,0,2,0,4,0
SIG_01g00100,27,55,31,29,145,37
SIG_01g00110,60,75,132,165,71,75
SIG_01g00120,55,74,56,190,81,55
SIG_01g00130,605,404,783,847,446,554
SIG_01g00140,307,277,434,417,210,306
SIG_01g00150,697,307,779,219,307,583
SIG_01g00160,243,229,280,729,200,687
SIG_01g00170,5521,7074,4181,5181,8393,6409
SIG_01g00180,56,59,83,113,82,58
SIG_01g00190,16,18,20,68,102,38
SIG_01g00200,0,1,0,0,0,2
SIG_01g00210,229,358,256,347,311,300
SIG_01g00220,0,0,0,0,0,0
SIG_01g00230,38,19,1,29,21,22
SIG_01g00240,613,514,717,510,529,627
SIG_01g00250,553,1135,1125,991,359,627
SIG_01g00260,58,52,23,42,45,31
SIG_01g00270,10,12,18,21,7,6
SIG_01g00280,339,491,351,475,499,321
SIG_01g00290,244,806,757,326,72,1431
SIG_01g00300,125,108,132,152,110,170
SIG_01g00310,0,0,0,0,2,0
SIG_01g00320,33,35,26,46,24,29
SIG_01g00330,816,1230,1111,1425,668,525
SIG_01g00340,190,239,200,253,305,263
SIG_01g00350,180,209,148,169,209,95
SIG_01g00360,191,334,240,249,361,185
SIG_01g00370,459,743,694,816,372,490
SIG_01g00380,610,789,1163,820,877,1053
SIG_01g00390,1492,983,1656,944,808,1143
SIG_01g00400,20,191,295,70,2,755
SIG_01g00410,0,0,8,2,0,2
SIG_01g00420,0,0,8,2,2,2
SIG_01g00430,0,0,0,0,0,0
SIG_01g00440,6,6,0,8,50,8
SIG_01g00450,309,283,371,286,263,329
SIG_01g00460,285,238,291,343,371,308
SIG_01g00470,29,2,13,0,1,51
SIG_01g00480,9,11,18,20,42,8
SIG_01g00490,382,421,289,367,419,333
SIG_01g00500,229,222,260,213,180,234
SIG_01g00510,395,331,495,517,634,476
SIG_01g00520,247,178,129,198,218,224
SIG_01g00530,153,247,142,253,188,189
SIG_01g00540,814,599,660,225,219,649
